=== 10-fold Cross-validation ===
Correlation coefficient                  0.9923
Mean absolute error                     25.1932
Root mean squared error                 33.8992
Relative absolute error                 10.7659 %
Root relative squared error             12.3774 %
Total Number of Instances               24     

 inst#     actual  predicted      error (dia1)
     1    220        246.986     26.986 (195)
     2    796        740.382    -55.618 (691)
     3   1044       1033.912    -10.088 (942)
     1    638        634.672     -3.328 (560)
     2    296        249.839    -46.161 (202)
     3    727        726.318     -0.682 (688)
     1    940        901.503    -38.497 (803)
     2    463        474.427     11.427 (364)
     3    430        419.188    -10.812 (321)
     1    666        661.556     -4.444 (598)
     2    202        233.339     31.339 (162)
     3   1009        996.735    -12.265 (940)
     1    598        583.285    -14.715 (463)
     2    803        830.391     27.391 (727)
     1    671        702.607     31.607 (638)
     2    691        727.246     36.246 (671)
     1    364        368.385      4.385 (296)
     2    942       1008.686     66.686 (926)
     1    321        308.89     -12.11  (220)
     2    688        699.375     11.375 (666)
     1    162        144.398    -17.602 (49)
     2    926        828.596    -97.404 (796)
     1    195        189.51      -5.49  (64)
