=== 10-fold Cross-validation ===
Correlation coefficient                  0.9896
Mean absolute error                     33.1232
Root mean squared error                 38.9957
Relative absolute error                 14.1546 %
Root relative squared error             14.2382 %
Total Number of Instances               24     

 inst#     actual  predicted      error (dia1)
     1    220        243.579     23.579 (195)
     2    796        746.85     -49.15  (691)
     3   1044        993.814    -50.186 (942)
     1    638        639.578      1.578 (560)
     2    296        251.468    -44.532 (202)
     3    727        745.919     18.919 (688)
     1    940        952.209     12.209 (803)
     2    463        446.013    -16.987 (364)
     3    430        386.039    -43.961 (321)
     1    666        711.849     45.849 (598)
     2    202        283.703     81.703 (162)
     3   1009       1003.3       -5.7   (940)
     1    598        555.34     -42.66  (463)
     2    803        819.869     16.869 (727)
     1    671        701.964     30.964 (638)
     2    691        729.661     38.661 (671)
     1    364        345.794    -18.206 (296)
     2    942        967.964     25.964 (926)
     1    321        330.244      9.244 (220)
     2    688        746.198     58.198 (666)
     1    162        164.496      2.496 (49)
     2    926        869.172    -56.828 (796)
     1    195        236.349     41.349 (64)
