=== 10-fold Cross-validation ===
Correlation coefficient                  0.9611
Mean absolute error                     21.1935
Root mean squared error                 40.2735
Relative absolute error                 14.5256 %
Root relative squared error             26.1161 %
Total Number of Instances               23     

 inst#     actual  predicted      error (dia1)
     1    531        523.225     -7.775 (523)
     2    435        438.539      3.539 (243)
     3    165        175.06      10.06  (151)
     1    220        205.035    -14.965 (192)
     2    235        243.948      8.948 (227)
     3    434        257.927   -176.073 (241)
     1    221        233.482     12.482 (199)
     2    241        274.072     33.072 (234)
     3    509        508.012     -0.988 (462)
     1    172        158.557    -13.443 (158)
     2    227        244.632     17.632 (220)
     1    523        511.681    -11.319 (509)
     2    502        501.009     -0.991 (435)
     1    525        504.61     -20.39  (510)
     2    510        503.348     -6.652 (502)
     1    462        493.664     31.664 (434)
     2    234        258.996     24.996 (221)
     1    180        194.981     14.981 (165)
     2    151        163.447     12.447 (137)
     1    243        275.54      32.54  (235)
     2    158        140.905    -17.095 (144)
     1    199        194.252     -4.748 (180)
