=== 10-fold Cross-validation ===
Correlation coefficient                  0.9967
Mean absolute error                     17.9096
Root mean squared error                 22.9558
Relative absolute error                  6.9234 %
Root relative squared error              7.7995 %
Total Number of Instances               28     

 inst#     actual  predicted      error (dia1)
     1    136        124.271    -11.729 (5)
     2    704        713.42       9.42  (614)
     3    947        951.544      4.544 (847)
     1    811        799.996    -11.004 (704)
     2    503        441.774    -61.226 (364)
     3    242        245.005      3.005 (153)
     1    425        405.481    -19.519 (352)
     2    516        500.008    -15.992 (383)
     3    289        263.093    -25.907 (196)
     1    847        846.95      -0.05  (714)
     2    383        407.296     24.296 (342)
     3    364        385.301     21.301 (289)
     1    857        889.734     32.734 (755)
     2    196        198.509      2.509 (83)
     3    215        225.569     10.569 (136)
     1    638        652.648     14.648 (516)
     2    922        924.336      2.336 (811)
     3   1069       1065.391     -3.609 (947)
     1    755        779.242     24.242 (691)
     2    714        758.285     44.285 (638)
     3   1044       1012.789    -31.211 (922)
     1    342        316.307    -25.693 (215)
     2    691        690.055     -0.945 (569)
     3    614        607.125     -6.875 (503)
     1    569        544.786    -24.214 (425)
     2    352        358.423      6.423 (242)
     1    153        184.682     31.682 (69)
